pokemon_name,move_name,learn_method,level,version_group
Bulbasaur,Swords Dance,machine,0,scarlet-violet
Bulbasaur,Vine Whip,level-up,3,scarlet-violet
Bulbasaur,Tackle,level-up,1,scarlet-violet
Bulbasaur,Body Slam,machine,0,scarlet-violet
Bulbasaur,Take Down,level-up,21,scarlet-violet
Bulbasaur,Take Down,machine,0,scarlet-violet
Bulbasaur,Double Edge,machine,0,scarlet-violet
Bulbasaur,Growl,level-up,1,scarlet-violet
Bulbasaur,Leech Seed,level-up,9,scarlet-violet
Bulbasaur,Growth,level-up,6,scarlet-violet
Bulbasaur,Razor Leaf,level-up,12,scarlet-violet
Bulbasaur,Solar Beam,level-up,36,scarlet-violet
Bulbasaur,Solar Beam,machine,0,scarlet-violet
Bulbasaur,Poison Powder,level-up,15,scarlet-violet
Bulbasaur,Sleep Powder,level-up,15,scarlet-violet
Bulbasaur,Petal Dance,egg,0,scarlet-violet
Bulbasaur,Toxic,egg,0,scarlet-violet
Bulbasaur,Toxic,machine,0,scarlet-violet
Bulbasaur,Rest,machine,0,scarlet-violet
Bulbasaur,Substitute,machine,0,scarlet-violet
Bulbasaur,Curse,egg,0,scarlet-violet
Bulbasaur,Curse,machine,0,scarlet-violet
Bulbasaur,Protect,machine,0,scarlet-violet
Bulbasaur,Sludge Bomb,machine,0,scarlet-violet
Bulbasaur,Giga Drain,machine,0,scarlet-violet
Bulbasaur,Endure,machine,0,scarlet-violet
Bulbasaur,Charm,machine,0,scarlet-violet
Bulbasaur,False Swipe,machine,0,scarlet-violet
Bulbasaur,Sleep Talk,machine,0,scarlet-violet
Bulbasaur,Sweet Scent,level-up,24,scarlet-violet
Bulbasaur,Synthesis,level-up,27,scarlet-violet
Bulbasaur,Sunny Day,machine,0,scarlet-violet
Bulbasaur,Facade,machine,0,scarlet-violet
Bulbasaur,Helping Hand,machine,0,scarlet-violet
Bulbasaur,Ingrain,egg,0,scarlet-violet
Bulbasaur,Knock Off,machine,0,scarlet-violet
Bulbasaur,Weather Ball,machine,0,scarlet-violet
Bulbasaur,Bullet Seed,machine,0,scarlet-violet
Bulbasaur,Magical Leaf,machine,0,scarlet-violet
Bulbasaur,Worry Seed,level-up,30,scarlet-violet
Bulbasaur,Seed Bomb,level-up,18,scarlet-violet
Bulbasaur,Seed Bomb,machine,0,scarlet-violet
Bulbasaur,Energy Ball,machine,0,scarlet-violet
Bulbasaur,Leaf Storm,machine,0,scarlet-violet
Bulbasaur,Power Whip,level-up,33,scarlet-violet
Bulbasaur,Grass Knot,machine,0,scarlet-violet
Bulbasaur,Venoshock,machine,0,scarlet-violet
Bulbasaur,Acid Spray,machine,0,scarlet-violet
Bulbasaur,Grass Pledge,machine,0,scarlet-violet
Bulbasaur,Grassy Terrain,machine,0,scarlet-violet
Bulbasaur,Grassy Glide,machine,0,scarlet-violet
Bulbasaur,Tera Blast,machine,0,scarlet-violet
Bulbasaur,Trailblaze,machine,0,scarlet-violet
Ivysaur,Swords Dance,machine,0,scarlet-violet
Ivysaur,Vine Whip,level-up,1,scarlet-violet
Ivysaur,Tackle,level-up,1,scarlet-violet
Ivysaur,Body Slam,machine,0,scarlet-violet
Ivysaur,Take Down,level-up,25,scarlet-violet
Ivysaur,Take Down,machine,0,scarlet-violet
Ivysaur,Double Edge,machine,0,scarlet-violet
Ivysaur,Growl,level-up,1,scarlet-violet
Ivysaur,Roar,machine,0,scarlet-violet
Ivysaur,Leech Seed,level-up,9,scarlet-violet
Ivysaur,Growth,level-up,1,scarlet-violet
Ivysaur,Razor Leaf,level-up,12,scarlet-violet
Ivysaur,Solar Beam,level-up,50,scarlet-violet
Ivysaur,Solar Beam,machine,0,scarlet-violet
Ivysaur,Poison Powder,level-up,15,scarlet-violet
Ivysaur,Sleep Powder,level-up,15,scarlet-violet
Ivysaur,Petal Dance,egg,0,scarlet-violet
Ivysaur,Toxic,egg,0,scarlet-violet
Ivysaur,Toxic,machine,0,scarlet-violet
Ivysaur,Rest,machine,0,scarlet-violet
Ivysaur,Substitute,machine,0,scarlet-violet
Ivysaur,Curse,egg,0,scarlet-violet
Ivysaur,Curse,machine,0,scarlet-violet
Ivysaur,Protect,machine,0,scarlet-violet
Ivysaur,Sludge Bomb,machine,0,scarlet-violet
Ivysaur,Giga Drain,machine,0,scarlet-violet
Ivysaur,Endure,machine,0,scarlet-violet
Ivysaur,Charm,machine,0,scarlet-violet
Ivysaur,False Swipe,machine,0,scarlet-violet
Ivysaur,Sleep Talk,machine,0,scarlet-violet
Ivysaur,Sweet Scent,level-up,30,scarlet-violet
Ivysaur,Synthesis,level-up,35,scarlet-violet
Ivysaur,Sunny Day,machine,0,scarlet-violet
Ivysaur,Facade,machine,0,scarlet-violet
Ivysaur,Helping Hand,machine,0,scarlet-violet
Ivysaur,Ingrain,egg,0,scarlet-violet
Ivysaur,Knock Off,machine,0,scarlet-violet
Ivysaur,Weather Ball,machine,0,scarlet-violet
Ivysaur,Bullet Seed,machine,0,scarlet-violet
Ivysaur,Magical Leaf,machine,0,scarlet-violet
Ivysaur,Worry Seed,level-up,40,scarlet-violet
Ivysaur,Seed Bomb,level-up,20,scarlet-violet
Ivysaur,Seed Bomb,machine,0,scarlet-violet
Ivysaur,Energy Ball,machine,0,scarlet-violet
Ivysaur,Leaf Storm,machine,0,scarlet-violet
Ivysaur,Power Whip,level-up,45,scarlet-violet
Ivysaur,Grass Knot,machine,0,scarlet-violet
Ivysaur,Venoshock,machine,0,scarlet-violet
Ivysaur,Acid Spray,machine,0,scarlet-violet
Ivysaur,Grass Pledge,machine,0,scarlet-violet
Ivysaur,Grassy Terrain,machine,0,scarlet-violet
Ivysaur,Grassy Glide,machine,0,scarlet-violet
Ivysaur,Tera Blast,machine,0,scarlet-violet
Ivysaur,Trailblaze,machine,0,scarlet-violet
Venusaur,Swords Dance,machine,0,scarlet-violet
Venusaur,Vine Whip,level-up,1,scarlet-violet
Venusaur,Tackle,level-up,1,scarlet-violet
Venusaur,Body Slam,machine,0,scarlet-violet
Venusaur,Take Down,level-up,25,scarlet-violet
Venusaur,Take Down,machine,0,scarlet-violet
Venusaur,Double Edge,machine,0,scarlet-violet
Venusaur,Growl,level-up,1,scarlet-violet
Venusaur,Roar,machine,0,scarlet-violet
Venusaur,Hyper Beam,machine,0,scarlet-violet
Venusaur,Leech Seed,level-up,9,scarlet-violet
Venusaur,Growth,level-up,1,scarlet-violet
Venusaur,Razor Leaf,level-up,12,scarlet-violet
Venusaur,Solar Beam,level-up,58,scarlet-violet
Venusaur,Solar Beam,machine,0,scarlet-violet
Venusaur,Poison Powder,level-up,15,scarlet-violet
Venusaur,Sleep Powder,level-up,15,scarlet-violet
Venusaur,Petal Dance,level-up,1,scarlet-violet
