pokemon,tier,usage_pct,raw_count,rank
Koraidon,Ubers,49.9397,93432,1
Zacian-Crowned,Ubers,36.9179,73165,2
Kyogre,Ubers,24.9506,49937,3
Arceus,Ubers,20.3333,37495,4
Ho-Oh,Ubers,19.394,35992,5
Eternatus,Ubers,19.1364,35531,6
Necrozma-Dusk-Mane,Ubers,14.3807,26512,7
Flutter Mane,Ubers,13.5391,32284,8
Lunala,Ubers,12.0542,20849,9
Kingambit,Ubers,12.0245,25460,10
Calyrex-Ice,Ubers,10.175,20007,11
Ribombee,Ubers,10.1084,19107,12
Arceus-Fairy,Ubers,9.2145,16978,13
Giratina-Origin,Ubers,8.6502,16999,14
Deoxys-Speed,Ubers,7.6697,13706,15
Terapagos,Ubers,7.2652,15632,16
Arceus-Ground,Ubers,6.807,12095,17
Glimmora,Ubers,6.7925,17543,18
Chien-Pao,Ubers,6.6449,15388,19
Ting-Lu,Ubers,6.5547,13117,20
Deoxys-Attack,Ubers,6.5092,13199,21
Groudon,Ubers,6.4201,15501,22
Regieleki,Ubers,6.2278,16241,23
Landorus-Therian,Ubers,6.1984,12425,24
Hatterene,Ubers,5.8177,11960,25
Annihilape,Ubers,5.7119,19031,26
Gliscor,Ubers,5.2405,16934,27
Kyurem-Black,Ubers,5.229,10638,28
Grimmsnarl,Ubers,4.8792,11564,29
Skeledirge,Ubers,4.6825,11380,30
Ditto,Ubers,4.5324,9408,31
Rayquaza,Ubers,4.4088,11755,32
Great Tusk,Ubers,4.3057,11319,33
Dondozo,Ubers,4.1422,8701,34
Sneasler,Ubers,4.1341,11987,35
Arceus-Water,Ubers,3.8124,6987,36
Corviknight,Ubers,3.8005,11381,37
Archaludon,Ubers,3.7124,12569,38
Volcarona,Ubers,3.7085,13265,39
Chi-Yu,Ubers,3.7043,8684,40
Giratina,Ubers,3.5826,7464,41
Mewtwo,Ubers,3.5006,9088,42
Urshifu-Rapid-Strike,Ubers,3.3544,10602,43
Baxcalibur,Ubers,3.2599,9271,44
Lugia,Ubers,3.2288,8712,45
Clodsire,Ubers,3.1708,8269,46
Garganacl,Ubers,3.1359,9633,47
Ursaluna-Bloodmoon,Ubers,3.0842,8324,48
Dragapult,Ubers,3.0821,11124,49
Magearna,Ubers,2.9387,7081,50
Gholdengo,Ubers,2.9092,9733,51
Roaring Moon,Ubers,2.9,7588,52
Blissey,Ubers,2.8534,6925,53
Espathra,Ubers,2.7267,8585,54
Iron Bundle,Ubers,2.6605,6958,55
Palafin,Ubers,2.6337,8247,56
Zamazenta-Crowned,Ubers,2.6118,7603,57
Shaymin-Sky,Ubers,2.6067,6792,58
Ogerpon-Hearthflame,Ubers,2.5835,7090,59
Ceruledge,Ubers,2.4547,10115,60
Urshifu,Ubers,2.3577,5516,61
Alomomola,Ubers,2.2774,5430,62
Toxapex,Ubers,2.2702,8569,63
Kyurem-White,Ubers,2.2019,5271,64
Arceus-Ghost,Ubers,2.1676,4309,65
Garchomp,Ubers,2.1588,10510,66
Incineroar,Ubers,2.1179,7080,67
Walking Wake,Ubers,2.0127,5472,68
Dragonite,Ubers,1.9289,8433,69
Gouging Fire,Ubers,1.8908,4710,70
Rillaboom,Ubers,1.8824,6636,71
Cinderace,Ubers,1.8129,5768,72
Tyranitar,Ubers,1.7925,6157,73
Iron Treads,Ubers,1.6942,4653,74
Zekrom,Ubers,1.6179,4488,75
Ursaluna,Ubers,1.6111,5089,76
Pecharunt,Ubers,1.6064,3965,77
Raging Bolt,Ubers,1.6013,4410,78
Galvantula,Ubers,1.5676,4843,79
Landorus,Ubers,1.5481,4029,80
Mimikyu,Ubers,1.5471,5343,81
Scizor,Ubers,1.5463,6791,82
Necrozma-Dawn-Wings,Ubers,1.4145,3880,83
Cyclizar,Ubers,1.4091,4854,84
Blaziken,Ubers,1.3082,6202,85
Palkia-Origin,Ubers,1.2729,3253,86
Palkia,Ubers,1.2579,2691,87
Meowscarada,Ubers,1.2433,6266,88
Dialga-Origin,Ubers,1.2234,3419,89
Ogerpon-Wellspring,Ubers,1.2186,3581,90
Excadrill,Ubers,1.2119,4624,91
Iron Valiant,Ubers,1.181,4848,92
Ninetales-Alola,Ubers,1.1695,3841,93
Sableye,Ubers,1.1242,2874,94
Dialga,Ubers,1.1142,3029,95
Zoroark-Hisui,Ubers,1.0898,5076,96
Smeargle,Ubers,1.081,3217,97
Amoonguss,Ubers,1.0761,3951,98
Samurott-Hisui,Ubers,1.0609,3890,99
Serperior,Ubers,1.0575,4596,100
Torkoal,Ubers,1.0561,3799,101
Heatran,Ubers,1.0145,3840,102
Darkrai,Ubers,0.9948,4657,103
Pelipper,Ubers,0.976,4214,104
Reshiram,Ubers,0.9741,2750,105
Greninja,Ubers,0.9736,5827,106
Forretress,Ubers,0.9619,3189,107
Polteageist,Ubers,0.9371,2524,108
Azumarill,Ubers,0.9003,3778,109
Talonflame,Ubers,0.9002,2602,110
Arceus-Electric,Ubers,0.9002,1798,111
Slowking-Galar,Ubers,0.879,2626,112
Maushold,Ubers,0.8775,4102,113
Gengar,Ubers,0.8769,4828,114
Rotom-Wash,Ubers,0.876,3614,115
Skarmory,Ubers,0.8563,2699,116
Zapdos,Ubers,0.8337,2943,117
Espeon,Ubers,0.8196,2734,118
Arceus-Fire,Ubers,0.7646,1687,119
Spectrier,Ubers,0.7496,2254,120
